,loss,accuracy,val_loss,val_accuracy
0,0.5093080997467041,0.7571303248405457,0.4947983920574188,0.746730625629425
1,0.4539731740951538,0.7911829352378845,0.45138493180274963,0.7925021648406982
2,0.41355279088020325,0.815838634967804,0.4696280062198639,0.7811682820320129
3,0.37815016508102417,0.8354589939117432,0.45494386553764343,0.7789886593818665
4,0.3448467254638672,0.8509594202041626,0.49327725172042847,0.7855274677276611
5,0.31306955218315125,0.8678203821182251,0.5137588381767273,0.7698343396186829
6,0.2864797115325928,0.8798367381095886,0.5450357794761658,0.7685266137123108
7,0.2555912137031555,0.8946886658668518,0.6869887709617615,0.7454228401184082
8,0.22815275192260742,0.9075823426246643,0.7035467028617859,0.7632955312728882
9,0.2031496912240982,0.9181745648384094,0.7852414846420288,0.7680906653404236
10,0.1809345781803131,0.9291354417800903,0.7741838693618774,0.7545771598815918
11,0.16219115257263184,0.9365995526313782,1.0119503736495972,0.7711421251296997
